StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q37,Q67,Q73,Q30,Q31,Q68,Q33,Q34,Q21_1,Q21_2,Q21_3,Q21_4,Q31_1,Q31_2,Q31_3,Q31_4,Q31_5,Q31_6,Q31_7,Q32_1,Q32_2,Q32_3,Q32_4,Q32_5,Q32_6,self_1,self_2,self_3,self_4,age,gender,race,Q36,Q36,workerId,condition
2022-02-13 12:26:02,2022-02-13 12:26:23,0,107.195.124.108,12,20,0,2022-02-13 12:27:16,R_UQoa06BMpt2PdNT,,,,,,,anonymous,EN,A2DK91OGZLWQ62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A2DK91OGZLWQ62,competitive
2022-02-13 12:26:25,2022-02-13 12:26:52,0,75.38.248.244,12,27,0,2022-02-13 12:27:17,R_2RR1Rx3nC3x8x5p,,,,,,,anonymous,EN,A13XQZ3464NIJX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A13XQZ3464NIJX,competitive
2022-02-13 12:25:57,2022-02-13 12:26:12,0,97.120.147.13,12,15,0,2022-02-13 12:27:18,R_9vh4fi81mZRqZ2x,,,,,,,anonymous,EN,AB16KUK5KUHRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AB16KUK5KUHRC,competitive
2022-02-13 12:26:05,2022-02-13 12:26:47,0,98.52.126.65,12,42,0,2022-02-13 12:27:19,R_1GJ0M58gmCwZ6IU,,,,,,,anonymous,EN,A204Q4T20BP8V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A204Q4T20BP8V,competitive
2022-02-13 12:26:47,2022-02-13 12:27:08,0,135.129.242.79,12,20,0,2022-02-13 12:27:19,R_12ROSkUO12dqqU9,,,,,,,anonymous,EN,A770OB1ZAGJ4G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A770OB1ZAGJ4G,cooperative
2022-02-13 12:26:27,2022-02-13 12:27:28,0,108.5.254.224,47,61,0,2022-02-13 12:27:34,R_2ZWaptLJWQhppZE,,,,,,,anonymous,EN,A381DV1DQVPBHN,,Our group in school helps each other out when needed.,5,5,We would share patients in order for all of us to get our requirements done.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,A381DV1DQVPBHN,cooperative
2022-02-13 12:26:42,2022-02-13 12:26:59,0,99.67.94.123,12,17,0,2022-02-13 12:27:35,R_b2ev9fILai197wd,,,,,,,anonymous,EN,A2DLV3WN24WTDS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A2DLV3WN24WTDS,cooperative
2022-02-13 12:26:43,2022-02-13 12:26:56,0,76.16.117.167,12,12,0,2022-02-13 12:27:40,R_1DvvBbhpvMmpazR,,,,,,,anonymous,EN,A135YSWYONU6UY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A135YSWYONU6UY,competitive
2022-02-13 12:27:05,2022-02-13 12:27:21,0,50.233.86.244,12,16,0,2022-02-13 12:27:45,R_27vt0y9S5JnOY2S,,,,,,,anonymous,EN,AYMR8UTKYJ2D4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AYMR8UTKYJ2D4,competitive
2022-02-13 12:30:59,2022-02-13 12:36:53,0,23.114.193.133,100,354,1,2022-02-13 12:36:53,R_3n8jr6psvkNXyll,,,,,30.3773040771484375,-97.70999908447265625,anonymous,EN,A2S9SAGO12WZ6P,"At the end of medical school, we apply to a bunch of hospitals based on our field of interest. Only one program will accept us so we are competing with all of the medical students around the country for our dream program. ",,5,5,"People would lie on their applications and during the interviews to get on top. The interviewers would not double check the information so the people who were exaggerating would outdo the honest applicants. ",5,1,2,5,5,7,11,11,11,11,15,14,15,11,11,11,12,15,15,1,1,1,4,27,2,1,6,,A2S9SAGO12WZ6P,competitive
2022-02-13 12:31:00,2022-02-13 12:38:46,0,98.224.187.221,100,465,1,2022-02-13 12:38:47,R_cOAXkZrBs3vR489,,,,,42.67340087890625,-82.77359771728515625,anonymous,EN,A3SXQNCJD6U86L,Recently our company was restructured and my position was eliminated. I am now in the process of interviewing for other jobs. My coworkers know that I am looking for other jobs and are trying to get ahead of me in the process. They are not willing to share information with me or help me in any way.,,5,5,My coworkers are not willing to share information with me or help me in any way. They are actively trying to get ahead of me in the job search process.,5,1,5,7,5,7,11,11,11,11,15,15,15,12,11,11,12,15,15,1,2,1,5,33,1,1,3,,A3SXQNCJD6U86L,competitive
2022-02-13 12:31:09,2022-02-13 12:39:04,0,45.42.190.73,100,475,1,2022-02-13 12:39:04,R_29bGhHXLQgBC4gD,,,,,38.886505126953125,-77.09110260009765625,anonymous,EN,A15RXO16LU4GFF,,"In my job, a ne project has been finished within the TAT time. And this has been achieved by my team members. We organized the task and achieve a goal.",4,4,People in the team performed their task within the time. Time perfection is very important and also every team member involved in their duties and performed well in a cooperative manner.,1,4,4,3,7,6,11,12,12,13,13,15,15,12,11,12,12,15,14,4,2,1,5,42,2,1,4,,A15RXO16LU4GFF,cooperative
2022-02-13 12:39:50,2022-02-13 12:52:01,0,71.57.175.204,100,731,1,2022-02-13 12:52:02,R_3p3HZR2vLCraNyO,,,,,26.2310028076171875,-80.12200164794921875,anonymous,EN,AG7VQMFMBNPUM,I interviewed for a job.  It had four rounds.  It was exhausting.,,3,3,"People were competing for a job.  They were trying to perform better than their competition.  ",5,1,6,6,2,4,13,13,13,13,13,13,15,13,13,13,13,13,13,3,3,3,3,38,1,2,5,,AG7VQMFMBNPUM,competitive
2022-02-13 12:41:18,2022-02-13 12:55:24,0,174.71.182.244,100,846,1,2022-02-13 12:55:25,R_6hSwoE4QtMdHtu1,,,,,29.2635040283203125,-81.9532012939453125,anonymous,EN,A1710X6OIQP62Q,,"My husband and I, along with one of our friends, rearranged rooms and furniture in our house.  We all worked together and helped each other to get it done as easily and as quickly as possible.",5,5,We had to help each other lift things and move things out of each others way.,1,4,5,3,5,6,11,11,12,12,14,15,15,12,12,11,12,15,15,2,2,1,5,38,2,1,4,,A1710X6OIQP62Q,cooperative
2022-02-13 12:53:50,2022-02-13 13:04:24,0,73.185.196.233,100,633,1,2022-02-13 13:04:24,R_pJAeMQavj6lOig9,,,,,39.0944061279296875,-94.4098968505859375,anonymous,EN,A3OTBMKOEQ410P,"I was selected to work at this job all year long instead of seasonal like most employees. But at the end of their season, some get a chance to stay and replace the year-long employees if their stats are better. ",,5,5,"We made sure we were completing our stats and who worked the most available hours. ",5,1,5,5,2,7,12,12,11,11,15,15,15,11,11,11,11,15,15,5,1,1,4,29,1,2,2,,A3OTBMKOEQ410P,competitive
2022-02-13 13:13:36,2022-02-13 13:15:32,0,172.126.134.41,100,116,1,2022-02-13 13:15:33,R_rjNiZcLxkVXYRyN,,,,,33.513397216796875,-101.88179779052734375,anonymous,EN,A2PIFMM4Q2I9ZS,,"At my job, we had a baby pass away and had to plan a funeral. Everyone worked together to provide in some way.",5,5,Everyone stepped in and helped in whatever way they could.,1,4,3,2,7,7,11,11,11,11,14,14,15,12,11,11,11,15,14,1,1,1,5,23,2,1,4,,A2PIFMM4Q2I9ZS,cooperative
2022-02-13 13:11:04,2022-02-13 13:15:56,0,68.54.214.71,100,292,1,2022-02-13 13:15:57,R_12fEOYjHb1KLf7M,,,,,39.2050933837890625,-85.932403564453125,anonymous,EN,A2BUHMLNE3LUU0,I was the assistant leader of a software implementation project. The leader was ineffective. My process was very effective. He was a blockade in the progress and was not allocating resources to me. Very hard to work with him.,,5,5,He pulled my resources allowing me without any resources.,5,1,3,4,5,6,11,11,11,11,14,15,15,11,11,11,11,15,14,1,1,1,4,43,2,5,4,,A2BUHMLNE3LUU0,competitive
2022-02-13 13:20:38,2022-02-13 13:25:01,0,73.44.97.216,100,262,1,2022-02-13 13:25:01,R_us2v7FdF35hCwmt,,,,,42.0048065185546875,-87.99539947509765625,anonymous,EN,A2VZBQLSFZC519,"I felt like I had to win a ""Who's most interesting?"" contest back in the summer. Being unique is very important to me, and when someone more unique than me comes into my life or the lives of my friends, I feel insecure and then feel like I need to fight or compete to been seen and heard.",,5,5,"The other person likely also felt some sort of competition, but for an entirely different reason. Hers was to build raport.",5,1,7,7,1,7,12,13,12,13,12,15,15,12,12,12,12,14,12,4,4,2,4,23,2,1,3,,A2VZBQLSFZC519,competitive
2022-02-13 13:28:31,2022-02-13 13:31:13,0,70.119.14.161,100,162,1,2022-02-13 13:31:13,R_6uiCMgf0QtTvHkl,,,,,32.76910400390625,-96.6053009033203125,anonymous,EN,A1X6WAK55MYGFH,"competitive — where people around you were trying to get ahead and beat each other, rather than working together.",,5,4,"This situation may have brought out the worst in people, causing fairness and generosity to take a backseat to selfishness, winning, and even manipulation or sabotage. This should be a situation where you were personally involved.
",5,1,7,7,6,6,13,12,13,12,13,12,15,13,12,12,13,14,13,4,5,4,5,34,1,2,4,good,A1X6WAK55MYGFH,competitive
2022-02-13 13:28:45,2022-02-13 13:31:44,0,73.151.211.55,100,178,1,2022-02-13 13:31:44,R_tMxMxqvRTqxDzNL,,,,,37.7353057861328125,-121.44029998779296875,anonymous,EN,AMHSZPFIQZKCP,,I was on a team creating a new process for trade in material. I was a key member since I know the old process. We all worked together to make something that worked well for all departments.,5,4,They all worked together to come up with the process. We had meetings and didn't just sit there an put down other ideas.,1,4,1,1,6,7,11,11,11,11,14,15,15,11,11,11,11,15,15,1,1,1,4,39,1,1,2,,AMHSZPFIQZKCP,cooperative
2022-02-13 13:28:44,2022-02-13 13:32:11,0,216.30.159.114,100,206,1,2022-02-13 13:32:11,R_9WFh97suhJvXH8t,,,,,37.136199951171875,-80.41249847412109375,anonymous,EN,A1UBMR7KI0S8DS,,I was working with someone on re-arranging some displays at work. By working together and delegating tasks equally between the two of us it made the job go a lot faster and the results were aesthetically pleasing. It actually made the job seem pretty fun.,5,4,We delegated tasks between us to play to our strengths and save time.,1,4,2,1,4,6,11,11,11,12,15,14,15,12,12,11,13,15,15,2,1,1,4,45,2,1,4,n/a,A1UBMR7KI0S8DS,cooperative
2022-02-13 13:29:11,2022-02-13 13:32:12,0,216.186.198.161,100,180,1,2022-02-13 13:32:12,R_1LInDbkjTu7hdLs,,,,,40.0457000732421875,-83.0720977783203125,anonymous,EN,A1KIL2V6SMJBGX,I am really into a board game league and there was a tournament with a grand prize of 5000. I was playing against a few people who i was very good friends with and things got very hectic between us.,,5,5,People were bringing out there very complex strategies and playing in ways i never saw before.,5,1,4,4,3,5,12,11,11,11,14,14,15,11,11,11,11,15,14,1,1,1,1,24,2,2,4,,A1KIL2V6SMJBGX,competitive
2022-02-13 13:29:40,2022-02-13 13:32:47,0,73.3.127.237,100,187,1,2022-02-13 13:32:47,R_vUEXX12D9VRKYoN,,,,,40.3119049072265625,-111.69589996337890625,anonymous,EN,A1C7I5TALATT89,,I was in a cooperative situation when I worked in Sales. I had to alter my schedule completely to be able to go on trips and work with teams. I did not like it because I felt I had no freedom and was a slave to my job/,2,2,"We had to give up our freedom to follow a ridiculous work schedule. I was miserable as I was never home. ",3,1,6,5,5,4,15,14,15,13,15,14,15,14,14,14,14,13,14,3,3,3,4,23,2,1,4,,A1C7I5TALATT89,cooperative
2022-02-13 13:29:19,2022-02-13 13:33:20,0,69.14.123.37,100,241,1,2022-02-13 13:33:21,R_yUVAG0zzCqiRwvT,,,,,42.59820556640625,-83.11669921875,anonymous,EN,AMXYSR7Y0JNSR,"I think, for me, the most competitive situation I have been in during the past 12 months is applying for teaching positions in my local school districts.",,4,4,People (teachers) presented portfolios or video clips of themselves teaching (versus the old-fashioned simple interview).,4,1,5,3,6,6,11,11,11,11,14,14,15,11,11,11,11,15,15,1,2,2,5,58,2,1,5,,AMXYSR7Y0JNSR,competitive
2022-02-13 13:28:25,2022-02-13 13:33:25,0,71.237.114.62,100,300,1,2022-02-13 13:33:26,R_1KxR8W7csjCIMIz,,,,,39.8690032958984375,-104.9766998291015625,anonymous,EN,A19W7ODDBWMSVK,,I was at work and we had to get all of the packages that were on the line to these big bins. This was because the line stopped working. Everyone was working together to get these packages over to the bins as soon as possible so they could be shipped out on time.,5,5,"As I stated in the previous response, people were grabbing consumer packages off the assembly line with each other. The boxes that were really heavy people would work in twos to lift and move.",1,4,3,5,5,6,12,12,12,12,13,14,15,13,12,13,12,14,14,1,2,2,4,29,1,1,4,,A19W7ODDBWMSVK,cooperative
2022-02-13 13:28:27,2022-02-13 13:33:33,0,73.90.129.127,100,306,1,2022-02-13 13:33:34,R_2bO8f4hla2QpCCD,,,,,38.661407470703125,-121.2635955810546875,anonymous,EN,COPIEDAIH74FR49U5GF,,I helped clean the carpet throughout the house so our Mom would not have to hire a cleaning carpet guy,5,5,"yes it was very cooperative, it saved our Mom money",5,4,5,5,5,3,11,11,11,11,14,14,15,11,11,11,11,15,15,1,1,1,5,56,2,1,2,no comments,AIH74FR49U5GF,cooperative
2022-02-13 13:28:55,2022-02-13 13:34:04,0,108.56.207.77,100,308,1,2022-02-13 13:34:04,R_3OjYUuhhZDfpVCj,,,,,38.981597900390625,-77.00440216064453125,anonymous,EN,A1ARYQXUB85OAY,"In my new-hire training class, we had to perform a group game where we answered questions given at random to anyone.  If you were the first to respond, you got points and could select the next category.  Everyone was out for themselves!",,5,4,People were responding to get called on but didn't actually have an answer.  They just wanted to make sure they were selected first.,4,1,4,5,2,6,12,12,11,12,13,15,15,11,11,11,12,15,15,4,2,1,5,32,2,1,3,"Nothing, thank you!",A1ARYQXUB85OAY,competitive
2022-02-13 13:29:00,2022-02-13 13:34:09,0,104.182.97.37,100,309,1,2022-02-13 13:34:09,R_3fV6lctYrmdVcJt,,,,,33.1909027099609375,-96.6197967529296875,anonymous,EN,APLBZ1ZVP1R8O,,"The only thing I can really think of is a new project at work. For the most part everyone has been working together to improve it and get it working the best way possible. ",4,2,"The person in charge of the product has been incredibly responsive to questions and problems. She has remained positive despite the fact that she is constantly hounded with issues.  ",1,4,3,3,3,4,11,11,11,12,15,14,15,15,13,12,12,15,14,1,1,4,3,38,2,1,3,,APLBZ1ZVP1R8O,cooperative
2022-02-13 13:29:32,2022-02-13 13:34:14,0,47.4.113.198,100,282,1,2022-02-13 13:34:15,R_2PtxFPHWQbYvH8e,,,,,32.782196044921875,-97.4969024658203125,anonymous,EN,A3DW7SIAJYKS6K,"I recently interviewed for a job that included a group interview. The group interview involved pairs of people solving a task/test. The groups were being time. It was intended to show how we work under pressure. It caused high anxiety. ",,4,4,"We had to work in pairs to problem solve. There was mixed responses to the task. Some of the interviewees were introspective and hesitant. Others were eager and almost aggressive. Some might say they were leaders. ",4,1,3,3,5,6,13,12,12,12,14,15,15,11,13,11,12,15,14,2,2,2,5,29,2,1,4,,A3DW7SIAJYKS6K,competitive
2022-02-13 13:28:52,2022-02-13 13:34:15,0,107.15.55.61,100,322,1,2022-02-13 13:34:16,R_2Sdm8IWM3DRu76N,,,,,35.96099853515625,-78.92910003662109375,anonymous,EN,A390QWND47KNPL,"There was an event on a Discord server that involved playing a really old video game to see who can get to a set amount of score. I was involved in said event, and was doing pretty well despite swearing a bit more than average since it was a competition. It only got worse when I was later notified that I didn't win; someone else who competed won by a few points. I didn't do anything to sabotage the event; I played fairly, but I was livid due to feeling cheated out of a win cause someone was better than I am at said game in question.",,5,3,"People were throwing a bit of backhanded insults when someone playing messed up in the game we were playing, pretty much.",4,1,5,4,5,6,11,12,12,13,15,14,15,11,11,11,11,14,15,3,2,1,5,25,1,2,3,,A390QWND47KNPL,competitive
2022-02-13 13:30:21,2022-02-13 13:34:17,0,24.247.128.114,100,235,1,2022-02-13 13:34:17,R_ujJH0qAixVdAeid,,,,,46.41510009765625,-84.285400390625,anonymous,EN,AR78EVSBHVFR7,"When I was new at my most recent job, there was a coworker much older than me who was trying to act like she was my boss, even though we started the same week. I felt like i had to prove myself by going above and beyond, but i did also go out of my way to make her look bad by subtly mentioning when she was late or when she made mistakes.",,4,4,A coworker and myself were competing to appear the best worker to our boss and coworkers.,4,1,2,2,5,6,11,12,11,12,14,15,15,12,12,12,12,14,14,3,3,2,4,24,2,6,4,,AR78EVSBHVFR7,competitive
2022-02-13 13:30:41,2022-02-13 13:34:29,0,172.251.245.187,100,228,1,2022-02-13 13:34:29,R_1ltOlACALLLWNtL,,,,,33.517303466796875,-117.1208038330078125,anonymous,EN,ANUT13S1G9RWU,"I think the most competitive situation I have been in was at work when a promotion was offered. Quite a few people were interested in the position and were trying to talk themselves up. I felt like I wasn't going to use the same tactics, but it was uncomfortable. ",,4,4,"They just reminded management of their accomplishments and how they were better than others. ",5,1,3,5,2,6,11,11,11,12,14,14,15,12,12,12,12,15,14,3,1,1,4,41,1,1,2,,ANUT13S1G9RWU,competitive
2022-02-13 13:28:04,2022-02-13 13:34:47,0,73.54.40.14,100,402,1,2022-02-13 13:34:47,R_24cPVFW5JhM40E3,,,,,26.7295074462890625,-81.4337005615234375,anonymous,EN,ANO4UVU9I3OPY,,We had a coworker that was robbed & beaten at a side market. He would be out of work for up to 5 months due to injuries. We had to figure out a way to get money to his family to help him get thru the 5 months. We took donations and did fund raisers and helped him with some money left over and it felt great.,5,5,They called all the businesses we were associated with. They spoke to all the employees. We all just worked as a team until we met the goal.,5,4,6,5,6,6,11,11,11,11,13,15,15,11,11,11,11,15,15,2,3,1,4,65,2,1,4,,ANO4UVU9I3OPY,cooperative
2022-02-13 13:30:36,2022-02-13 13:35:08,0,69.206.100.79,100,271,1,2022-02-13 13:35:08,R_31tuV5TdsrdfA3u,,,,,41.4723968505859375,-74.05660247802734375,anonymous,EN,A23HLFYOV789GV,,Co owning a house with a family member and deciding what maintenance roles are assigned to each user,5,5,We both equally contributed the same dollar amount to dig a new well,1,4,6,5,7,7,11,13,11,12,14,15,15,13,11,12,12,15,14,2,1,1,5,60,2,1,4,,A23HLFYOV789GV,cooperative
2022-02-13 13:31:59,2022-02-13 13:35:08,0,173.68.204.150,100,189,1,2022-02-13 13:35:09,R_3CCSslQJ5M6cOP7,,,,,40.7653045654296875,-73.95890045166015625,anonymous,EN,ABF5ENVB19SC4,,"I had to work closely with the Technology department on evaluating a new accounting system. We worked together for months and evaluated lots of vendors. ",5,4,"We met on a weekly basis and shared our thoughts. The tech department gave lots of insights from a tech perspective. ",1,4,2,2,6,7,11,12,11,11,14,14,15,11,11,11,11,15,15,2,1,1,4,34,1,1,4,,ABF5ENVB19SC4,cooperative
2022-02-13 13:30:07,2022-02-13 13:35:25,0,172.58.75.71,100,318,1,2022-02-13 13:35:25,R_1FrFQn8A9ffnzNg,,,,,36.2158050537109375,-115.06600189208984375,anonymous,EN,AJIADKZ4Z7SJ9,"When i had the senior group project, everyone in the group was very competitive and they all wanted to be the best in the group. But that was a good thing I think, because it made everyone try their best for the project and help build the best project possible ",,3,3,my groupmates all wanted to do the presentation of the project to show how good they were.,3,1,5,5,5,4,14,13,13,13,13,13,15,13,13,13,14,13,14,4,4,3,3,32,1,1,4,,AJIADKZ4Z7SJ9,competitive
