StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q37,Q67,Q68,Q73,Q74,Q21_1,Q21_2,Q21_3,Q21_4,Q21_DO,Q66_1,Q66_2,Q66_3,Q66_DO,Q57_1,Q57_2,Q57_3,Q57_4,Q57_5,Q57_6,Q57_7,Q57_DO,Q58_1,Q58_2,Q58_3,Q58_4,Q58_5,Q58_DO,Q59_1,Q59_2,Q59_3,Q59_4,Q59_DO,Q32_1,Q32_2,Q32_3,Q32_4,Q32_DO,Q30,Q32,Q34,Q36,Q36,workerId,sales,salessubjpron,salesobjpron,salesposspron,salessubjproncapit,FL_28_DO,FL_19_DO
2022-01-26 09:47:02,2022-01-26 09:50:34,0,45.35.97.203,100,211,1,2022-01-26 09:50:34,R_XFbM1d4xXmlH5AJ,,,,,32.8137054443359375,-96.87039947509765625,anonymous,EN,A21L7K4NROSSF5,,,IT WAS REALLY SOMETHING DIFFERENT AND GOOD,"YES IT IS REALLY VERY USEFUL ",7,7,6,6,4|1|3|2,5,2,4,1|2|3,5,5,5,4,4,4,4,1|2|4|5|7|6|3,4,4,5,5,4,2|5|4|3|1,4,5,4,5,1|2|4|3,4,5,4,5,1|3|2|4,30,2,13,4,IT WAS REALLY GOOD,A21L7K4NROSSF5,Andrew,he,him,his,He,CWVmaniplow,FL_20
2022-01-26 09:44:16,2022-01-26 09:50:44,0,97.71.158.165,100,388,1,2022-01-26 09:50:44,R_1OZ9VljoaGepy7S,,,,,28.2534027099609375,-81.64209747314453125,anonymous,EN,A3MXI2O3JZ0TZH,,,When I go to church I feel this way.,I just connected to the positive energy flowing through my heart.,4,4,4,7,1|4|3|2,1,2,4,1|2|3,3,3,3,3,3,3,5,4|2|1|5|6|7|3,3,3,3,3,3,3|1|4|5|2,3,5,3,5,4|1|2|3,1,1,1,5,3|4|2|1,44,2,19,4,,A3MXI2O3JZ0TZH,Jennifer,she,her,her,She,CWVmaniplow,FL_36
2022-01-26 09:49:23,2022-01-26 09:50:52,0,73.45.96.133,100,89,1,2022-01-26 09:50:53,R_2Si9bRPsClS3QpZ,,,,,41.9409027099609375,-87.6531982421875,anonymous,EN,A30Z7QRNVPKOFS,like,competitive jungle,,,5,4,6,5,2|1|3|4,4,2,4,1|2|3,4,5,4,4,3,4,3,7|1|2|4|3|5|6,4,5,3,5,4,3|5|4|1|2,5,4,3,4,3|4|1|2,5,4,3,4,3|2|1|4,43,2,14,5,,A30Z7QRNVPKOFS,Jennifer,she,her,her,She,CWVmaniphigh,FL_36
2022-01-26 09:46:20,2022-01-26 09:50:53,0,69.244.29.48,100,272,1,2022-01-26 09:50:53,R_vVr8BBuSRvn8gHT,,,,,32.3383026123046875,-111.045501708984375,anonymous,EN,AQ6MW2SAMYZNW,"Basketball Lyrics: Bounce your booty like a basketball / If you ain""t got no booty don't bounce at all.
","by CR Yeh · 2016 · Cited by 5 — Educational competition has always been the puzzle issue of educational researches. In this article, I analyze several aspects of ...
",,,6,6,7,5,4|2|3|1,4,5,4,3|2|1,4,4,4,5,5,5,4,7|6|5|3|2|1|4,5,4,5,4,4,4|3|5|1|2,4,5,5,4,4|3|1|2,4,5,4,4,3|4|1|2,35,2,13,5,nice,AQ6MW2SAMYZNW,Jennifer,she,her,her,She,CWVmaniphigh,FL_36
2022-01-26 09:47:45,2022-01-26 09:50:57,0,208.203.210.210,100,191,1,2022-01-26 09:50:57,R_3FKBK17ZmF0zTFt,,,,,40.82049560546875,-73.91829681396484375,anonymous,EN,A3LX2XBUQZ9N4D,,,,,6,5,6,5,2|3|4|1,4,2,4,1|2|3,4,4,5,4,4,3,5,6|4|7|1|2|3|5,4,3,4,5,3,5|3|4|1|2,4,5,4,5,3|2|1|4,3,4,5,4,1|2|3|4,33,2,13,4,,A3LX2XBUQZ9N4D,Jennifer,she,her,her,She,CWVmaniphigh,FL_36
2022-01-26 09:47:58,2022-01-26 09:51:42,0,202.182.65.41,100,223,1,2022-01-26 09:51:43,R_3NKdI6Xzoq4kNS7,,,,,40.8000030517578125,-73.9763031005859375,anonymous,EN,A2VX99UT4WMGYH,"One-off events are held once in a certain place or at a certain time. For example when a city hosts the Olympic or Paralympic Games it may be a once in a generation event. Regular events Most major sporting events are regular in that they are held annually (every year) or biennially ",Nothing like this,,,5,7,6,6,2|3|1|4,5,2,4,1|2|3,4,4,3,5,5,4,5,5|1|3|6|4|2|7,4,5,5,3,4,2|5|4|1|3,5,5,4,4,2|3|1|4,3,5,4,4,2|3|1|4,69,2,20,5,Nothing like his,A2VX99UT4WMGYH,Jennifer,she,her,her,She,CWVmaniphigh,FL_36
2022-01-26 09:44:17,2022-01-26 09:51:47,0,71.112.133.128,100,449,1,2022-01-26 09:51:47,R_3qwi7QeTbxDQJIg,,,,,40.346893310546875,-79.868896484375,anonymous,EN,A1TLNLB9D87H6,,,"My backyard parking place has railroad ties that were deteriorating. So, my father-in-law came to help. It was him, myself, and my husband and we took three days to build a much taller/tougher wall and afterwards all of us were sore, but happy the project was finished","I was available for anything my husband and father-in-law needed. Whether that was cutting or holding a board, or even getting them something to eat, I did it. They were very thankful for my help and hard work.",5,5,2,7,1|4|2|3,1,2,4,1|2|3,1,3,1,1,2,1,5,7|3|1|4|2|5|6,1,3,3,5,1,2|1|5|3|4,3,3,4,3,2|1|3|4,1,1,1,4,2|3|4|1,37,2,13,3,,A1TLNLB9D87H6,Jennifer,she,her,her,She,CWVmaniplow,FL_36
2022-01-26 09:50:30,2022-01-26 09:52:14,0,202.182.67.39,100,104,1,2022-01-26 09:52:15,R_23TzM5InqrTAKpG,,,,,40.7682952880859375,-73.98020172119140625,anonymous,EN,A1QF2W2UOKVGY3,,,"good ","How did YOU adapt and act in this situation? In the space below, please write a few sentences describing how you acted in this cooperative environment.
",5,4,5,5,3|4|2|1,5,3,4,1|2|3,4,5,4,4,3,3,5,7|3|4|5|6|1|2,4,2,4,5,3,4|1|3|5|2,3,4,3,5,4|2|3|1,4,5,2,3,2|1|4|3,35,1,13,4,"good ",A1QF2W2UOKVGY3,Andrew,he,him,his,He,CWVmaniplow,FL_20
2022-01-26 09:46:46,2022-01-26 09:52:19,0,73.53.157.137,100,333,1,2022-01-26 09:52:19,R_1LAm7O5EtHH8wXx,,,,,30.3477935791015625,-81.64929962158203125,anonymous,EN,A1GLM78SR6S1AX,,,"Harmony and peace come from understanding, and that doesn't have to mean agreeing. It's simply seeing and accepting where the other person is coming from. When clarity is the foundation of your communication you can truly grow together, without fear of your words being taken the wrong way.","In order to create an environment in which cooperative learning can take place, three things are necessary. First, students need to feel safe, but also challenged. Second, groups need to be small enough that everyone can contribute. Third, the task students work together on must be clearly defined.",5,6,6,6,4|1|2|3,4,2,1,1|2|3,5,5,5,4,4,5,4,6|5|2|7|4|1|3,4,5,5,5,4,3|5|1|4|2,4,4,5,5,4|2|1|3,5,4,5,4,1|2|3|4,35,2,13,5,good experience,A1GLM78SR6S1AX,Jennifer,she,her,her,She,CWVmaniplow,FL_36
2022-01-26 09:49:28,2022-01-26 09:52:39,0,31.131.8.129,100,191,1,2022-01-26 09:52:39,R_20ND9CbIrGqdh51,,,,,39.046905517578125,-77.49030303955078125,anonymous,EN,A1T9QAVMYHHQFT,more like in a basketball in a people.,more helpful in a competitive jungle,,,6,5,4,5,2|1|3|4,3,2,3,1|2|3,3,4,4,3,3,3,3,5|3|6|1|7|2|4,4,3,3,2,3,3|1|2|4|5,4,4,3,3,4|2|3|1,4,3,4,3,2|3|4|1,36,2,13,4,good,A1T9QAVMYHHQFT,Jennifer,she,her,her,She,CWVmaniphigh,FL_36
2022-01-26 09:44:07,2022-01-26 09:52:48,0,47.201.173.184,100,520,1,2022-01-26 09:52:48,R_2qz87xI0WLUpz3h,,,,,27.8672943115234375,-82.70909881591796875,anonymous,EN,A3UD7T1L80TCR3,,,"I work in the education field. We often have situations regarding students that need team approvals. There are many members involved in the team from psychologists, speech therapists, all subjects teachers and administrators. Parents are also very involved with decisions and it can be difficult to get them on-board with our solutions. We had one student that was having severe difficulties and we were able to come to a definite solution regarding this student with all parties involved. ","After many hours of research I approach the situation with my solutions. I then get input from the specialists. I take all options into consideration because we are dealing with people and our decisions could affect the rest of there life. I realize I am not a specialist in many fields and am open to what others see and then we come to a mutual agreement regarding of method of action. ",5,5,6,6,2|1|3|4,1,2,5,3|2|1,2,2,1,1,1,1,5,4|5|2|3|7|6|1,1,1,2,3,2,2|1|3|4|5,1,1,5,1,2|4|1|3,4,4,1,5,2|1|3|4,60,2,13,5,,A3UD7T1L80TCR3,Andrew,he,him,his,He,CWVmaniplow,FL_20
2022-01-26 09:45:03,2022-01-26 09:52:50,0,8.46.120.242,100,466,1,2022-01-26 09:52:50,R_1lowcKQuJVcyk42,,,,,40.75970458984375,-73.9810028076171875,anonymous,EN,A2EBGIJB58YN47,engaged in cooking activity and also prepare a new food,because learn new things and new activities,,,5,7,7,7,2|4|1|3,5,2,1,1|2|3,4,5,5,4,5,5,5,6|5|3|4|7|1|2,5,5,5,5,4,2|5|3|1|4,5,4,1,4,1|2|3|4,1,4,5,5,1|2|4|3,43,2,13,4,,A2EBGIJB58YN47,Jennifer,she,her,her,She,CWVmaniphigh,FL_36
2022-01-26 09:44:41,2022-01-26 09:53:27,0,8.46.120.249,100,526,1,2022-01-26 09:53:27,R_vvuEYd9PyZgfUUp,,,,,40.75970458984375,-73.9810028076171875,anonymous,EN,A2Q9H4UFVO1W13,,,very sad current situvation,the  cooperative environment is very good and most of mind thinking,5,5,4,4,3|2|1|4,4,3,2,3|2|1,4,3,5,2,3,5,4,2|4|7|3|1|5|6,3,4,4,5,2,5|1|3|4|2,4,4,2,2,4|2|3|1,5,2,4,3,2|4|3|1,35,1,13,4,,A2Q9H4UFVO1W13,Andrew,he,him,his,He,CWVmaniplow,FL_20
2022-01-26 09:44:16,2022-01-26 09:53:29,0,73.0.155.123,100,553,1,2022-01-26 09:53:30,R_2YAlnzuFaHx6jKO,,,,,26.6641998291015625,-80.1732025146484375,anonymous,EN,AQ5KOKZQSZU0B,"I don't have any good personal examples of this that aren't sporting events. I guess technically my college was like this, as a large amount of students were competing for the same set of finance and consulting jobs upon graduation, and we were all generally expected to be interested in this. I know the process was extremely competitive and people were behaving in the manner described above. I figured I would not succeed in that area of business and just didn't participate in the competition, which I suppose makes me an automatic loser, but I alright with this outcome.","My way of adapting was simply to not even play the game. The competition seemed horrible, so I observed it, realized that given my resume and skills I would probably lose out to the top competitors after months of stress and worry, and just chose not to continue on with it. It meant giving up on the potential benefits, but I avoided all of the certain costs. ",,,2,3,4,4,2|3|1|4,1,2,5,3|2|1,1,2,1,1,1,1,5,2|6|3|5|1|7|4,1,4,2,1,1,3|4|5|2|1,1,1,5,1,1|3|2|4,2,2,4,1,4|3|1|2,33,2,13,4,none,AQ5KOKZQSZU0B,Jennifer,she,her,her,She,CWVmaniphigh,FL_36
2022-01-26 09:45:55,2022-01-26 09:53:32,0,75.163.182.210,100,456,1,2022-01-26 09:53:32,R_2wEmMF7nBRS86mA,,,,,38.9300994873046875,-104.8441009521484375,anonymous,EN,A1901T07YJX1OD,,,"My family is fairly dysfunctional. There is a lot of generational trauma and rug-sweeping. One time I felt harmonious was during my mother's wake. After she passed away, we were able to all get together and talk about memories and stories. It felt like one time when none of the other baggage that came along with our family mattered.","I joined in with the storytelling and the memories being shared. I joined in on conversations of old family recipes. I joined in on the family aspect for the first time in a while. ",2,3,4,7,3|4|2|1,1,2,5,1|2|3,2,3,1,1,1,1,5,1|3|6|4|2|5|7,1,1,1,1,1,3|2|4|1|5,1,1,5,1,4|1|2|3,2,3,1,3,4|1|2|3,34,2,13,3,,A1901T07YJX1OD,Andrew,he,him,his,He,CWVmaniplow,FL_20
2022-01-26 09:45:46,2022-01-26 09:53:53,0,202.182.70.112,100,486,1,2022-01-26 09:53:53,R_1MQxMnVGhKmLJGJ,,,,,40.7682952880859375,-73.98020172119140625,anonymous,EN,A2HJURCWGXGT57,,,"In uncertain times, you need to be a transparent leader. You have to speak to your team in ways they can understand and relate to. You need to communicate directly and say “Here's what we know, here's what we don't know, and here's what we're doing.”
","Emphasize your confidence when faced with unpredicted challenges. Mention how your skillset makes you an ideal candidate for the position. Highlight any past work experiences that required adaptation. Focus on any skills that help you learn quickly such as problem-solving or critical thinking.
",6,5,7,7,1|4|2|3,4,2,5,3|2|1,5,4,1,5,4,2,3,2|3|6|4|1|7|5,3,5,5,4,5,5|1|2|4|3,4,5,4,5,3|4|1|2,4,2,3,5,1|4|2|3,33,1,14,5,like,A2HJURCWGXGT57,Andrew,he,him,his,He,CWVmaniplow,FL_20
2022-01-26 09:50:52,2022-01-26 09:53:58,0,163.123.222.62,100,186,1,2022-01-26 09:53:59,R_2zjSWBiengBMidR,,,,,37.751007080078125,-97.82199859619140625,anonymous,EN,A1GCOIBQGH4YLR,,,"Collaborating on shared documents. ...
Working on tasks and projects. ...
Discussing work challenges on team communication channels. ...
Video calls and meetings. ...
Brainstorming with whiteboards","Brainstorm a specific instance when you successfully adapted to change. ...
Organize your thoughts. ...
Share your anecdote. ...
Explain your success. ...
Apply those skills to your possible new role",7,7,5,5,1|3|2|4,4,2,4,3|2|1,4,4,4,4,4,4,4,6|7|2|5|4|3|1,5,3,4,5,5,3|4|2|1|5,5,4,4,5,2|1|4|3,4,4,4,4,2|3|1|4,35,1,13,4,nice1,A1GCOIBQGH4YLR,Jennifer,she,her,her,She,CWVmaniplow,FL_36
2022-01-26 09:51:13,2022-01-26 09:54:07,0,104.224.28.145,100,173,1,2022-01-26 09:54:08,R_2rD8teR11LEPs9M,,,,,40.78759765625,-74.05999755859375,anonymous,EN,A3UPVZRVZBK5JB,Tennis,It's difficult,,,4,7,7,6,3|2|4|1,5,2,1,1|2|3,2,5,4,5,1,4,1,1|2|3|4|5|7|6,3,2,2,1,2,1|3|4|2|5,2,2,5,5,3|2|1|4,2,2,1,3,2|1|4|3,25,1,13,4,,A3UPVZRVZBK5JB,Andrew,he,him,his,He,CWVmaniphigh,FL_20
2022-01-26 09:46:09,2022-01-26 09:54:40,0,63.75.243.78,100,511,1,2022-01-26 09:54:41,R_3PGYI0E1AxnWJnL,,,,,41.87640380859375,-87.6132965087890625,anonymous,EN,A8H3TDQ3213KV,well recently i have  seen basketball. it was very interesting and i have watched this with my friends,based on my friends reaction i came to the decision,,,3,5,5,5,2|4|1|3,4,2,2,1|2|3,4,4,3,3,3,3,2,2|3|4|6|1|5|7,4,3,2,3,4,5|3|4|2|1,3,3,4,4,4|3|2|1,4,4,2,4,1|2|4|3,29,1,13,5,,A8H3TDQ3213KV,Andrew,he,him,his,He,CWVmaniphigh,FL_20
2022-01-26 09:47:55,2022-01-26 09:55:18,0,202.182.67.66,100,443,1,2022-01-26 09:55:18,R_YQVw5ajJ5xEwaBP,,,,,40.7682952880859375,-73.98020172119140625,anonymous,EN,A1LWEBNPE4NAJE,,,"The people we're related to by blood and marriage are expected to be our ... If you want your family members to know and accept each other lovingly, you ...
Missing: cooperating ‎pulling",good,6,6,6,6,2|1|4|3,4,2,4,1|2|3,4,4,5,4,4,4,4,3|2|1|6|5|7|4,5,4,4,4,4,1|3|2|5|4,4,4,4,4,2|4|3|1,4,4,5,4,3|4|1|2,35,1,13,5,good,A1LWEBNPE4NAJE,Andrew,he,him,his,He,CWVmaniplow,FL_20
