StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q37,Q67,Q73,Q30,Q31,Q68,Q33,Q34,Q21_1,Q21_2,Q21_3,Q21_4,Q66_1,Q66_2,Q66_3,Q57_1,Q57_2,Q57_3,Q57_4,Q57_5,Q57_6,Q57_7,Q58_1,Q58_2,Q58_3,Q58_4,Q58_5,Q59_1,Q59_2,Q59_3,Q59_4,Q59_5,Q32_1,Q32_2,Q32_3,Q32_4,Q30,Q32,Q34,Q36,Q36,workerId,condition,sales,salessubjpron,salesobjpron,salesposspron,salessubjproncapit
2022-03-08 07:31:13,2022-03-08 07:37:37,0,72.35.172.63,100,384,1,2022-03-08 07:37:37,R_2bWCIhageTZwERv,,,,,40.6396942138671875,-93.802398681640625,anonymous,EN,A3P0P0DRSOX52W,"I felt competitive when was when I was trying to grow the biggest potato for a contest in our community. There were others who were involved and we had a good time working on our projects. It was fun to see the other vegetables that were entered. I was motivated to win, but it was good-natured. It was fun, and I did end up winning in my category.",,4,3,"They would water and fertilize their plants, and weed around them to give the vegetables the best conditions.",4,1,1,1,6,7,1,2,5,2,1,1,1,1,1,4,2,2,2,1,1,2,1,4,3,2,2,2,2,5,58,1,1,5,,A3P0P0DRSOX52W,competitive,Jennifer,she,her,her,She
2022-03-08 07:31:30,2022-03-08 07:37:56,0,70.162.25.201,100,386,1,2022-03-08 07:37:56,R_24vIwkjwnXw6hnF,,,,,31.94549560546875,-110.9972991943359375,anonymous,EN,A1JI19KPIVNL3Y,,I have a group of friends and we all do youtube videos.  We had decided to do a giant collaborative live stream.  We formed an internet group to discuss the upcoming agenda and topics and what each of us could bring to the table.,5,1,"We were all involved in the same video, when usually we all do our own thing. Each of us brought something different to the discussion.",1,2,3,2,4,4,1,2,1,3,3,1,1,1,1,5,1,1,1,1,1,1,1,5,1,2,2,2,2,3,45,1,1,4,,A1JI19KPIVNL3Y,cooperative,Andrew,he,him,his,He
2022-03-08 07:32:18,2022-03-08 07:38:06,0,24.0.222.109,100,348,1,2022-03-08 07:38:06,R_ewUkD97IkC2nlPr,,,,,39.911102294921875,-74.1468963623046875,anonymous,EN,A150XGQ7KWLBWN,"I ran in a 5k race on Thanksgiving day. Although everyone was in a good mood due to the holiday, it was still a race. I overheard a few people trying to make people feel unprepared right before the race started. They were talking about how cold it was, clearly trying to psych out the people near them. ",,5,5,"Some of the people tried to manipulate people's thoughts, to make them feel unprepared for the race. ",5,1,4,5,2,6,1,2,5,1,1,1,1,1,1,5,1,4,3,3,1,1,1,5,1,2,4,3,2,4,46,2,1,4,,A150XGQ7KWLBWN,competitive,Andrew,he,him,his,He
2022-03-08 07:32:16,2022-03-08 07:38:43,0,172.58.107.102,100,386,1,2022-03-08 07:38:44,R_cAzOjXN7ZRrqq8p,,,,,32.776702880859375,-96.80500030517578125,anonymous,EN,A21DGFFM8MBO6J,,My ex husband and I co parenting together for our 3 kids. His SO makes it hard but we get along and kids are top priority.,5,5,Ex and I text and call each other to catch up with what the kids are doing. We eat dinner once a month with kids and his SO and my husband.,3,2,4,4,6,6,2,2,4,3,4,2,2,2,2,3,2,3,2,2,2,2,3,4,3,2,4,3,2,5,44,2,1,2,,A21DGFFM8MBO6J,cooperative,Jennifer,she,her,her,She
2022-03-08 07:32:50,2022-03-08 07:38:45,0,73.242.226.183,100,354,1,2022-03-08 07:38:46,R_1FJUW88JVJqmg7k,,,,,35.13690185546875,-106.5198974609375,anonymous,EN,A1X2J73SSA05TD,I was playing an online video game and there were three of us competing for the top spot.  I ended up playing a little longer than I hoped but ended up beating the other two opponents handily.  It was very rewarding!,,5,4,"I didn't interact with them in person, but their scores kept going up and up so I knew they were continuing to play.  I knew I had to keep up or I wouldn't win.",5,1,5,5,6,7,1,2,5,4,3,2,1,2,2,5,1,4,4,3,1,2,1,5,3,2,1,1,1,4,49,1,1,4,,A1X2J73SSA05TD,competitive,Jennifer,she,her,her,She
2022-03-08 07:31:20,2022-03-08 07:38:55,0,73.172.79.217,100,455,1,2022-03-08 07:38:56,R_pT0r6nruH6R3vEd,,,,,39.569305419921875,-76.98690032958984375,anonymous,EN,A2JQI1SDHK32T6,,"The most cooperative situation I have been in in the past 12 months is one where I was on a team of grant makers.   We divided up the grant applications as a team and tackled our own parts individually.  There were a lot of meetings and deadlines, and the outcome of the project depended on everyone doing their part on time.   Everyone trusted each other to do their own work thoroughly and on time, and encouraged each other to ask for help of someone was falling behind.   The team trusted each other, motivated each other, and helped each other to achieve our goal.",4,4,"An example of how someone was cooperative on my team is that if there was a question about a grant application, a team member would set up a call with the applicant so other team members could ask questions for clarity.",1,2,5,5,5,6,1,2,5,1,1,1,1,1,1,5,1,1,1,1,1,1,1,5,1,2,3,1,1,5,40,1,1,4,,A2JQI1SDHK32T6,cooperative,Jennifer,she,her,her,She
2022-03-08 07:33:02,2022-03-08 07:39:49,0,75.165.156.33,100,407,1,2022-03-08 07:39:50,R_2vkwfUmygImVCwO,,,,,35.9824981689453125,-78.53759765625,anonymous,EN,a3ehyjze97cyzy,i have not been in any situations like this,,5,1,being competitive can be quite fun in the workplace. a good competitive behavior would be sales people trying to sell more than each other.,5,1,5,3,7,6,1,2,4,1,1,1,2,1,1,5,1,2,1,1,2,3,1,5,3,2,4,4,2,3,63,2,1,3,,A3EHYJZE97CYZY,competitive,Jennifer,she,her,her,She
2022-03-08 07:33:15,2022-03-08 07:39:56,0,74.128.99.127,100,400,1,2022-03-08 07:39:56,R_sA6drcbAy8ZpA1r,,,,,39.4346923828125,-84.62079620361328125,anonymous,EN,A2PRF5G21RC5G3,"I was competing with a number of instructors for adjunct positions at a local university.  I knew most of the other instructors.  It was uneasy seeing some of them make a beeline to the chair's office, probably trying to make their case.",,4,2,"They tried to get an edge by speaking to the chair.  Although speaking to the chair is no uncommon, the number of trips to the office was way beyond normal circumstances.",4,1,2,4,5,5,1,2,5,2,3,2,1,1,1,4,1,3,1,3,1,3,2,4,3,2,4,4,1,4,71,1,1,6,,A2PRF5G21RC5G3,competitive,Andrew,he,him,his,He
2022-03-08 07:35:45,2022-03-08 07:40:00,0,76.190.108.66,100,254,1,2022-03-08 07:40:00,R_3CINKtNLVNX9F3I,,,,,38.21820068359375,-86.1125030517578125,anonymous,EN,A3QFQEHXML3K43,"During COVID there were some power struggles at work with everyone wanting their opinions to be policy. ",,5,5,"Everyone tried to enforce their views and opinions. There wasn't as much collaboration as there should have been. ",5,1,2,4,5,7,1,2,5,3,2,1,1,1,1,5,1,2,2,2,1,1,1,5,2,2,1,1,1,5,41,2,1,3,,A3QFQEHXML3K43,competitive,Jennifer,she,her,her,She
2022-03-08 07:35:18,2022-03-08 07:40:06,0,71.60.112.107,100,288,1,2022-03-08 07:40:07,R_3IbkmSxrXaFcBIu,,,,,40.4467010498046875,-79.68419647216796875,anonymous,EN,A2K607J3Z68WRR,"I went for a job interview recently. I didn't need the job, but it would have been a better location and close to home than my current job. Anytime you have an interview, it is always competitive.",,4,4,Ask questions comparing myself to others and how I stand out from others.,5,1,5,5,6,7,1,2,5,4,1,1,1,1,1,5,1,5,2,1,1,1,1,5,1,2,4,2,1,5,40,1,1,3,,A2K607J3Z68WRR,competitive,Andrew,he,him,his,He
2022-03-08 07:34:05,2022-03-08 07:40:07,0,174.249.216.5,100,362,1,2022-03-08 07:40:08,R_2wBJQX35gfy5PZ5,,,,,39.5569000244140625,-80.1371002197265625,anonymous,EN,A2ZJSBAM7CVBKP,,"A truck full of fright had arrived late, and needed to be stocked. Many people from different departments who were unfamiliar with this particular kind of freight came to help. They learned how to stock within minutes and teamed up to rush freight to the sales floor efficiently and quickly. ",5,5,"They worked in teams, stocking cart after cart of freight, while others loaded up these carts and rushed them to the sales floor to be placed on shelves. It was very organized, and flowed smoothly. ",5,2,3,2,4,7,1,2,5,2,3,3,2,3,2,5,1,4,4,2,1,2,2,5,2,2,1,1,1,3,37,2,1,4,Thank you very much for the chance to participate!,A2ZJSBAM7CVBKP,cooperative,Andrew,he,him,his,He
2022-03-08 07:31:16,2022-03-08 07:40:09,0,107.140.153.155,100,533,1,2022-03-08 07:40:10,R_3LcmONewrNETzdt,,,,,33.7657012939453125,-84.29509735107421875,anonymous,EN,A1IG8F14AYEGW9,I work part time in real estate sales.  The last time I went into the office no one was willing to help myself and another new agent who needed help.  It seemed like everyone was just for themselves and didn't want anyone else to get ahead.,,4,4,Wasn't willing to help out a fellow co-worker who needed help.,5,1,2,3,5,6,1,2,4,3,3,2,2,2,2,4,1,3,2,4,2,1,1,4,1,2,1,1,1,4,49,2,2,4,,A1IG8F14AYEGW9,competitive,Andrew,he,him,his,He
2022-03-08 07:32:44,2022-03-08 07:40:21,0,98.100.51.102,100,456,1,2022-03-08 07:40:21,R_2amXtrF37hAsNYo,,,,,41.1230926513671875,-81.56659698486328125,anonymous,EN,A11KCJVVZDSOT0,,I took a job in August where I was one of three people in the same role across three regions. We had to develop a variety of processes that needed to be the same across all three regions. We worked together to develop these processes and ensure that they worked and were vetted for errors. It took more time than if I would have developed them myself but it also helped develop systems that were better than they would have been if I created them myself.,5,5,We took turns sharing our ideas but always made it clear that we were not insistent on our ideas. We made it clear that we were just sharing ideas and open to collaboration.,3,2,5,5,4,6,1,2,5,1,1,1,1,1,1,5,1,3,1,1,1,1,1,5,2,2,4,3,3,4,37,2,1,4,no comments,A11KCJVVZDSOT0,cooperative,Andrew,he,him,his,He
2022-03-08 07:30:59,2022-03-08 07:40:31,0,202.182.65.52,100,571,1,2022-03-08 07:40:31,R_1BWzw3zyLUupkTV,,,,,40.7682952880859375,-73.98020172119140625,anonymous,EN,A26G6MY87QFQC0,,there is a good situation in working it is important for the cooperative to achieve everything.,3,4,"This situation may have brought out the best in people, with everyone working toward a common goal; instead of being selfish, people helped each other",4,2,5,6,6,6,4,2,4,4,4,5,4,4,4,3,3,4,3,4,5,4,4,4,3,2,4,4,3,4,42,2,2,4,good,A26G6MY87QFQC0,cooperative,Andrew,he,him,his,He
2022-03-08 07:34:49,2022-03-08 07:40:35,0,104.2.203.17,100,345,1,2022-03-08 07:40:35,R_eEX3TvCKxztqQrT,,,,,41.4615020751953125,-88.27860260009765625,anonymous,EN,A23XM9DGWLJ2O6,"It was a BMX race. It was very competitive people were kicking eachother off their bikes and making them fall. At the end of the race everyone was happe and friends, what happens out on the track does not come back to the pits. Although it is very competitive the people are of the BMX community are still very tightly knitted together and dont let what happens out on the track affect their relationships with eachother. ",,5,5,"Race each other, kick and push each other off their bikes. ",5,1,4,5,5,2,3,2,2,4,4,5,4,5,4,3,2,2,3,3,2,4,4,2,4,2,1,1,1,4,33,2,1,3,,A23XM9DGWLJ2O6,competitive,Jennifer,she,her,her,She
2022-03-08 07:33:28,2022-03-08 07:40:46,0,24.154.110.153,100,437,1,2022-03-08 07:40:46,R_1FKdH6jrMl1Ji97,,,,,41.16070556640625,-80.08409881591796875,anonymous,EN,AFALUZ9511OVV,,"We had a large snow in January. The sort that makes ten inches overnight. The next morning (when many things were closed) most of the neighborhood was out moving snow. Moving snow not only to make it easier for you, but also for neighbors. Everyone was united to reopen the community.",5,3,Snow removal en mass. Any snow that was causing difficulty was moved regardless of location or jurisdiction. People worked together without concern for credit.,1,2,3,2,6,7,1,2,5,2,4,2,2,1,1,5,1,4,3,2,1,2,1,5,4,2,1,2,1,4,46,1,1,6,,AFALUZ9511OVV,cooperative,Jennifer,she,her,her,She
2022-03-08 07:33:18,2022-03-08 07:41:01,0,73.106.216.112,100,462,1,2022-03-08 07:41:01,R_ewVFDDvRNqCEC0V,,,,,33.4665985107421875,-84.4763031005859375,anonymous,EN,A1BFLMCFOAYEVI,,Last year I wrote a free e-book which was involved in compiling the best information I could find on-line about the Flat Earth - it ended up over 500 pages. I needed help transcribing some videos including interviews I did and I had a team of friends who helped me with this task.  It gave me more time to focus on other tasks to create this e-book.  Of course all these helpers got a copy of the e-book first.,5,5,we split up the transcribing of videos.,1,2,5,5,6,7,1,2,5,1,4,1,1,2,1,5,1,4,4,1,1,1,1,5,4,2,3,4,1,5,66,1,1,4,,A1BFLMCFOAYEVI,cooperative,Jennifer,she,her,her,She
2022-03-08 07:37:35,2022-03-08 07:41:08,0,71.81.61.253,100,213,1,2022-03-08 07:41:08,R_3IXmSssvc1wS22I,,,,,30.418701171875,-90.0554962158203125,anonymous,EN,A1GYKUR7KGUQYA,,. This should be a situation where you were personally involved.,4,5,cooperative behavior,4,2,6,2,4,5,4,5,4,1,5,5,4,3,4,4,1,4,3,3,5,3,4,4,3,2,4,3,3,5,49,2,1,4,Nice,A1GYKUR7KGUQYA,cooperative,Jennifer,she,her,her,She
2022-03-08 07:35:37,2022-03-08 07:41:11,0,174.248.56.60,100,334,1,2022-03-08 07:41:11,R_3OeSEyPcY26A79D,,,,,32.37359619140625,-86.18329620361328125,anonymous,EN,AE5XS58ITVT84,,"At work, we had to have a collaborative PowerPoint presentation. Our team worked together to make up slides that would all fit together. We had on our own sections but had each other's help.",5,4,We helped each other with the slides and gave suggestions amongst ourselves.,1,2,2,3,5,6,1,2,5,2,2,1,2,2,3,5,1,3,2,1,1,1,1,5,1,2,2,2,1,4,24,1,1,4,,AE5XS58ITVT84,cooperative,Andrew,he,him,his,He
2022-03-08 07:33:10,2022-03-08 07:41:15,0,24.34.212.51,100,484,1,2022-03-08 07:41:15,R_1NgHqCP6GhQbQod,,,,,41.318603515625,-72.93019866943359375,anonymous,EN,A219UA97DGVB5A,,A little less 6 months ago I went to rehab for drug addiction. It was a live in program for up to a month. I would say the cooperation I saw in there was amazing but the main incident was welcoming a new patient. Everyone is very welcoming and understanding when u first get in.,5,4,Saying encouraging things and being there to listen.,1,2,5,5,6,7,1,2,5,3,2,2,2,2,2,5,1,5,2,4,2,1,3,4,2,2,1,2,2,4,31,1,1,3,,A219UA97DGVB5A,cooperative,Jennifer,she,her,her,She
2022-03-08 07:31:17,2022-03-08 07:41:17,0,68.32.68.201,100,599,1,2022-03-08 07:41:17,R_27k5qm2gSLag1jb,,,,,43.0579986572265625,-85.69000244140625,anonymous,EN,A2NOA2YRKVTIBQ,"I was in a weight loss competition. It turned people judgmental and nasty! It was supposed to be a supportive, fun way to lose weight, but those who were doing the best became unsupportive and mean to others. ",,5,5,"Continuously weighed in, gave healthy recipes, talked about how much weight they've lost, questioned why others haven't and judged what they ate. ",5,1,5,4,5,6,1,2,5,1,1,1,1,1,1,5,1,2,1,1,1,1,1,5,1,2,3,2,1,5,30,2,1,3,,A2NOA2YRKVTIBQ,competitive,Andrew,he,him,his,He
2022-03-08 07:33:54,2022-03-08 07:41:17,0,24.55.152.245,100,442,1,2022-03-08 07:41:17,R_z8sz871CLQ4sbDP,,,,,40.49859619140625,-75.68669891357421875,anonymous,EN,A26TP4HHSINK5E,I am working towards a promotion at work and there is another employee also in the running for the promotion. It has caused this other person to take steps against me. This person has tried to make up things that aren't true to make me look bad.,,5,5,They were attempting to make me look bad and get others on their side against me.,5,1,6,7,3,4,1,2,5,2,3,1,1,1,1,5,1,2,3,3,2,1,1,5,1,2,4,4,1,5,56,2,1,3,,A26TP4HHSINK5E,competitive,Jennifer,she,her,her,She
